City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Shalyhyne,UA,51.5717,34.1217,39.76,70,21,9.4,few clouds
329,Talgar,KZ,43.3027,77.2395,30.36,86,1,4.47,mist
330,Xai-Xai,MZ,-25.0519,33.6442,82.9,53,0,16.22,clear sky
331,Dandong,CN,40.1292,124.3947,43.9,65,0,3.06,clear sky
332,Boende,CD,-0.2167,20.8667,77.41,81,95,1.7,overcast clouds
333,Sampit,ID,-2.5333,112.95,74.39,97,68,1.92,broken clouds
334,Sanda,JP,34.8833,135.2333,51.94,81,3,3.89,clear sky
335,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,9.22,broken clouds
336,Shu,KZ,43.5983,73.7614,48.22,48,15,3.31,few clouds
337,Barrinha,BR,-21.1936,-48.1639,93.69,20,0,8.97,clear sky
338,Chumikan,RU,54.7183,135.315,38.19,78,48,21.16,scattered clouds
339,Ballina,AU,-28.8667,153.5667,71.78,94,7,6.91,clear sky
340,Havelock,US,34.8791,-76.9013,75.97,71,20,5.99,few clouds
341,Namibe,AO,-15.1961,12.1522,67.41,68,39,12.75,scattered clouds
342,Sabha,LY,27.0377,14.4283,85.46,14,46,11.01,scattered clouds
343,Show Low,US,34.2542,-110.0298,66.88,34,1,26.46,clear sky
344,Guozhen,CN,34.3659,107.359,50.85,84,56,1.12,broken clouds
